subj,edad,género,lugar de grabación,grabación,fecha,age
sp_1,8,femenino,c.c.n.n. (bahuanisho),9,04/08/2017,9
sp_2,7,femenino,c.c.n.n. (bahuanisho),10,04/08/2017,7.7
sp_3,8,femenino,c.c.n.n. (bahuanisho),7,04/08/2017,8.5
sp_4,8,femenino,c.c.n.n. (bahuanisho),8,04/08/2017,8.2
sp_5,8,femenino,c.c.n.n. (bahuanisho),5,04/08/2017,
sp_6,7,femenino,c.c.n.n. (bahuanisho),6,04/08/2017,7.5
sp_7,9,masculino,c.c.n.n. (bahuanisho),3,04/08/2017,9.2
sp_8,11,masculino,c.c.n.n. (bahuanisho),4,04/08/2017,11.6
sp_9,7,masculino,c.c.n.n. (bahuanisho),1,04/08/2017,7
sp_10,8,masculino,c.c.n.n. (bahuanisho),2,04/08/2017,8.7
sp_11,7,masculino,c.c.n.n. (bahuanisho),31,05/08/2017,7.5
sp_12,8,masculino,c.c.n.n. (bahuanisho),32,05/08/2017,9.5
sp_13,9,femenino,c.c.n.n. (bahuanisho),29,05/08/2017,9.8
sp_14,6 or 7,masculino,c.c.n.n. (bahuanisho),30,05/08/2017,7
sp_15,9,masculino,c.c.n.n. (bahuanisho),27,05/08/2017,9.4
sp_16,10,femenino,c.c.n.n. (bahuanisho),28,05/08/2017,
sp_17,11,masculino,c.c.n.n. (bahuanisho),25,05/08/2017,11.1
sp_18,10,masculino,c.c.n.n. (bahuanisho),26,05/08/2017,10.7
sp_19,6,femenino,c.c.n.n. (bahuanisho),23,05/08/2017,6.3
sp_20,8,femenino,c.c.n.n. (bahuanisho),24,05/08/2017,8.7
sp_21,5,femenino,c.c.n.n. (bahuanisho),21,05/08/2017,5.5
sp_22,6,femenino,c.c.n.n. (bahuanisho),22,05/08/2017,
sp_23,8,femenino,c.c.n.n. (bahuanisho),19,05/08/2017,8.5
sp_24,8,femenino,c.c.n.n. (bahuanisho),20,05/08/2017,
sp_25,9,femenino,c.c.n.n. (bahuanisho),17,05/08/2017,8.8
sp_26,7,masculino,c.c.n.n. (bahuanisho),18,05/08/2017,7
sp_27,9,femenino,c.c.n.n. (bahuanisho),15,05/08/2017,9.7
sp_28,7,femenino,c.c.n.n. (bahuanisho),16,05/08/2017,7.8
sp_29,11,masculino,c.c.n.n. (bahuanisho),13,05/08/2017,
sp_30,9,femenino,c.c.n.n. (bahuanisho),14,05/08/2017,9.4
sp_31,10,masculino,c.c.n.n. (bahuanisho),11,05/08/2017,10.9
sp_32,10,femenino,c.c.n.n. (bahuanisho),12,05/08/2017,10.2
sp_33,9,masculino,c.c.n.n. (bahuanisho),11,04/08/2017,9.3
sp_34,9,femenino,bena jema,1,07/08/2017,
sp_35,7,femenino,bena jema,2,07/08/2017,
sp_36,7,femenino,bena jema,3,07/08/2017,
sp_37,5,masculino,bena jema,4,07/08/2017,
sp_38,7,femenino,bena jema,5,07/08/2017,
sp_39,9,femenino,bena jema,1,10/08/2017,9.6
sp_40,10,masculino,bena jema,2,10/08/2017,
sp_41,9,femenino,bena jema,3,10/08/2017,9.6
sp_42,7,femenino,bena jema,4,10/08/2017,7.5
sp_43,8,femenino,bena jema,5,10/08/2017,8.5
sp_44,9,femenino,bena jema,6,10/08/2017,10
sp_45,10,femenino,bena jema,7,10/08/2017,10.6
sp_46,10,femenino,bena jema,8,10/08/2017,10.3
