subj,edad,género,lugar de grabación,grabación,fecha,age
sh_1,6,femenino,bilingue,7,17/07/2017,6.4
sh_2,7,femenino,bilingue,8,17/07/2017,7.4
sh_3,9,masculino,bilingue,5,17/07/2017,9.6
sh_4,7,masculino,bilingue,6,17/07/2017,7.3
sh_5,7,femenino,bilingue,1,17/07/2017,7.8
sh_6,8,masculino,bilingue,2,17/07/2017,8.2
sh_7,5,masculino,bilingue,3,17/07/2017,5.7
sh_8,8,femenino,bilingue,4,17/07/2017,8.9
sh_9,8,masculino,bilingue,9,17/07/2017,8.3
sh_10,7,masculino,c.c.n.n. (bahuanisho),1,02/08/2017,7
sh_11,6,masculino,c.c.n.n. (bahuanisho),2,02/08/2017,6.9
sh_12,5,femenino,c.c.n.n. (bahuanisho),3,02/08/2017,6.5
sh_13,6,femenino,c.c.n.n. (bahuanisho),4,02/08/2017,6
sh_14,6,masculino,c.c.n.n. (bahuanisho),5,02/08/2017,6.3
sh_15,8,femenino,c.c.n.n. (bahuanisho),1,03/08/2017,8.4
sh_16,7,femenino,c.c.n.n. (bahuanisho),2,03/08/2017,7.3
sh_17,9,masculino,c.c.n.n. (bahuanisho),3,03/08/2017,9.3
sh_18,8,femenino,c.c.n.n. (bahuanisho),4,03/08/2017,
sh_19,6,femenino,c.c.n.n. (bahuanisho),5,03/08/2017,
sh_20,6,masculino,c.c.n.n. (bahuanisho),6,03/08/2017,6.6
sh_21,9,masculino,c.c.n.n. (bahuanisho),7,03/08/2017,9.5
sh_22,7,femenino,c.c.n.n. (bahuanisho),8,03/08/2017,7.8
sh_23,8,femenino,c.c.n.n. (bahuanisho),9,03/08/2017,8.1
sh_24,7,femenino,c.c.n.n. (bahuanisho),10,03/08/2017,7.7
sh_25,9,femenino,c.c.n.n. (bahuanisho),11,03/08/2017,9.7
sh_26,8,femenino,c.c.n.n. (bahuanisho),12,03/08/2017,8.5
sh_27,5,femenino,c.c.n.n. (bahuanisho),13,03/08/2017,5.4
sh_28,5,femenino,c.c.n.n. (bahuanisho),14,03/08/2017,5.5
sh_29,8 or 9,femenino,c.c.n.n. (bahuanisho),15,03/08/2017,9
sh_30,7 or 8,femenino,c.c.n.n. (bahuanisho),16,03/08/2017,8
sh_31,8,femenino,c.c.n.n. (bahuanisho),17,03/08/2017,7.9
sh_32,8,femenino,c.c.n.n. (bahuanisho),18,03/08/2017,
sh_33,11,masculino,c.c.n.n. (bahuanisho),19,03/08/2017,11.1
sh_34,11,femenino,c.c.n.n. (bahuanisho),20,03/08/2017,11
sh_35,7,femenino,c.c.n.n. (bahuanisho),21,03/08/2017,7.5
sh_36,8,masculino,c.c.n.n. (bahuanisho),22,03/08/2017,8.7
sh_37,9,femenino,c.c.n.n. (bahuanisho),23,03/08/2017,9.7
sh_38,8,femenino,c.c.n.n. (bahuanisho),24,03/08/2017,9.3
sh_39,7,masculino,c.c.n.n. (bahuanisho),25,03/08/2017,7
sh_40,7,masculino,c.c.n.n. (bahuanisho),26,03/08/2017,7.5
sh_41,8,masculino,c.c.n.n. (bahuanisho),27,03/08/2017,8.2
sh_42,10,femenino,c.c.n.n. (bahuanisho),1,05/08/2017,
sh_43,8,femenino,c.c.n.n. (bahuanisho),2,05/08/2017,8.5
sh_44,6,femenino,c.c.n.n. (bahuanisho),3,05/08/2017,6
sh_45,10,masculino,c.c.n.n. (bahuanisho),4,05/08/2017,10.6
sh_46,11,masculino,c.c.n.n. (bahuanisho),5,05/08/2017,
sh_47,9,masculino,c.c.n.n. (bahuanisho),6,05/08/2017,9.4
sh_48,11,femenino,c.c.n.n. (bahuanisho),7,05/08/2017,11.7
sh_49,8,masculino,c.c.n.n. (bahuanisho),8,05/08/2017,8.1
sh_50,8,femenino,c.c.n.n. (bahuanisho),9,05/08/2017,8.7
sh_51,11,masculino,c.c.n.n. (bahuanisho),10,05/08/2017,11.6
sh_52,10,femenino,bena jema,20,10/08/2017,10.2
sh_53,10,masculino,bena jema,21,10/08/2017,
sh_54,9,femenino,bena jema,22,10/08/2017,9.6
sh_55,7,femenino,bena jema,23,10/08/2017,7.5
sh_56,9,masculino,bena jema,24,10/08/2017,9.6
sh_57,8,femenino,bena jema,25,10/08/2017,8.5
