Source: http://www1.icsi.berkeley.edu/wcs/data/cnum-maps/cnum-vhcm-lab-new.txt
#cnum,munsell_code,V,H,C,MunH,MunV,L*,a*,b*
78,C36,C,36,6,10.00P,8,81.35,21.03,-9.69
285,C37,C,37,6,2.50RP,8,81.35,22.62,-5.51
190,C38,C,38,6,5.00RP,8,81.35,23.53,-0.96
160,C39,C,39,6,7.50RP,8,81.35,23.82,2.52
292,C40,C,40,6,10.00RP,8,81.35,23.74,6.18
300,D0,D,0,0,10.00RP,7,71.6,-0.04,0.05
63,D1,D,1,8,2.50R,7,71.6,32.18,12.57
151,D2,D,2,8,5.00R,7,71.6,31.7,17.23
35,D3,D,3,10,7.50R,7,71.6,38.22,29.22
278,D4,D,4,10,10.00R,7,71.6,34.96,37.54
318,D5,D,5,10,2.50YR,7,71.6,30.67,44.56
212,D6,D,6,14,5.00YR,7,71.6,32.89,77.02
187,D7,D,7,14,7.50YR,7,71.6,24.12,84.39
110,D8,D,8,14,10.00YR,7,71.6,15.62,90.72
326,D9,D,9,12,2.50Y,7,71.6,6.22,81.95
146,D10,D,10,12,5.00Y,7,71.6,-2.3,85.64
258,D11,D,11,12,7.50Y,7,71.6,-9.51,87.14
193,D12,D,12,12,10.00Y,7,71.6,-15.98,87.62
91,D13,D,13,12,2.50GY,7,71.6,-24.87,85.15
143,D14,D,14,12,5.00GY,7,71.6,-34.49,79.15
33,D15,D,15,10,7.50GY,7,71.6,-40.28,53.23
315,D16,D,16,10,10.00GY,7,71.6,-46.7,41.31
268,D17,D,17,10,2.50G,7,71.6,-51.55,27.69
29,D18,D,18,8,5.00G,7,71.6,-41.95,14.43
161,D19,D,19,8,7.50G,7,71.6,-41.85,9.77
145,D20,D,20,8,10.00G,7,71.6,-41.54,5.41
253,D21,D,21,8,2.50BG,7,71.6,-40.91,1.15
82,D22,D,22,8,5.00BG,7,71.6,-39.21,-4.56
289,D23,D,23,6,7.50BG,7,71.6,-27.52,-7.11
186,D24,D,24,6,10.00BG,7,71.6,-25.13,-11.03
49,D25,D,25,6,2.50B,7,71.6,-22.32,-14.67
200,D26,D,26,6,5.00B,7,71.6,-18.37,-18.07
104,D27,D,27,6,7.50B,7,71.6,-14.22,-19.9
138,D28,D,28,8,10.00B,7,71.6,-12.05,-29.46
322,D29,D,29,8,2.50PB,7,71.6,-5.09,-30.75
254,D30,D,30,8,5.00PB,7,71.6,0.85,-31.32
102,D31,D,31,6,7.50PB,7,71.6,6.06,-22.71
213,D32,D,32,6,10.00PB,7,71.6,10.25,-21.6
167,D33,D,33,6,2.50P,7,71.6,13.67,-19.66
99,D34,D,34,6,5.00P,7,71.6,16.13,-17.52
152,D35,D,35,8,7.50P,7,71.6,26.62,-18.32
215,D36,D,36,8,10.00P,7,71.6,29.26,-13.95
86,D37,D,37,10,2.50RP,7,71.6,38.97,-10.98
118,D38,D,38,10,5.00RP,7,71.6,40.04,-2.7
239,D39,D,39,8,7.50RP,7,71.6,32.47,2.76
126,D40,D,40,8,10.00RP,7,71.6,32.41,7.97
263,E0,E,0,0,10.00RP,6,61.7,-0.04,0.04
256,E1,E,1,12,2.50R,6,61.7,49.42,18.23
176,E2,E,2,12,5.00R,6,61.7,48.53,25.92
17,E3,E,3,12,7.50R,6,61.7,46.38,35.47
121,E4,E,4,14,10.00R,6,61.7,49.15,56.82
125,E5,E,5,16,2.50YR,6,61.7,44.69,79.79
261,E6,E,6,12,5.00YR,6,61.7,29.38,64.4
270,E7,E,7,12,7.50YR,6,61.7,22.09,71.31
48,E8,E,8,12,10.00YR,6,61.7,14.45,76.93
181,E9,E,9,10,2.50Y,6,61.7,5.87,68.59
42,E10,E,10,10,5.00Y,6,61.7,-1.4,71.61
275,E11,E,11,10,7.50Y,6,61.7,-7.92,73.21
218,E12,E,12,10,10.00Y,6,61.7,-14.02,73.17
236,E13,E,13,10,2.50GY,6,61.7,-21.81,70.54
81,E14,E,14,10,5.00GY,6,61.7,-30.13,65.11
7,E15,E,15,12,7.50GY,6,61.7,-46.97,64.65
282,E16,E,16,12,10.00GY,6,61.7,-55.94,49.19
45,E17,E,17,10,2.50G,6,61.7,-51.58,26.3
180,E18,E,18,10,5.00G,6,61.7,-52.22,16.26
310,E19,E,19,10,7.50G,6,61.7,-52.09,10.63
119,E20,E,20,10,10.00G,6,61.7,-51.88,5.51
147,E21,E,21,8,2.50BG,6,61.7,-41.11,0.19
246,E22,E,22,8,5.00BG,6,61.7,-39.17,-5.88
136,E23,E,23,8,7.50BG,6,61.7,-36.77,-10.9
55,E24,E,24,8,10.00BG,6,61.7,-33.16,-16.42
40,E25,E,25,8,2.50B,6,61.7,-29.22,-21.27
211,E26,E,26,8,5.00B,6,61.7,-22.98,-25.73
19,E27,E,27,8,7.50B,6,61.7,-16.81,-28.31
153,E28,E,28,10,10.00B,6,61.7,-13.07,-37.55
1,E29,E,29,10,2.50PB,6,61.7,-4.52,-39.18
37,E30,E,30,10,5.00PB,6,61.7,2.64,-39.49
233,E31,E,31,8,7.50PB,6,61.7,9.58,-30.64
62,E32,E,32,8,10.00PB,6,61.7,15.28,-29.05
308,E33,E,33,8,2.50P,6,61.7,20.07,-26.92
197,E34,E,34,8,5.00P,6,61.7,23.29,-23.79
273,E35,E,35,10,7.50P,6,61.7,34.47,-24.03
32,E36,E,36,10,10.00P,6,61.7,37.1,-18.34
68,E37,E,37,10,2.50RP,6,61.7,38.67,-11.63
28,E38,E,38,10,5.00RP,6,61.7,40.07,-3.44
21,E39,E,39,12,7.50RP,6,61.7,49.38,2.78
173,E40,E,40,12,10.00RP,6,61.7,49.67,10.71
46,F0,F,0,0,10.00RP,5,51.57,-0.03,0.04
321,F1,F,1,14,2.50R,5,51.57,59.36,19.67
298,F2,F,2,14,5.00R,5,51.57,58.01,30.52
288,F3,F,3,14,7.50R,5,51.57,55.76,42.05
3,F4,F,4,16,10.00R,5,51.57,55.2,68.32
76,F5,F,5,14,2.50YR,5,51.57,40.53,69.04
30,F6,F,6,12,5.00YR,5,51.57,29.45,64.44
185,F7,F,7,10,7.50YR,5,51.57,19.79,58.75
208,F8,F,8,10,10.00YR,5,51.57,13.12,63.99
287,F9,F,9,8,2.50Y,5,51.57,5.33,54.9
58,F10,F,10,8,5.00Y,5,51.57,-0.48,57.27
225,F11,F,11,8,7.50Y,5,51.57,-6.4,58.71
320,F12,F,12,8,10.00Y,5,51.57,-11.71,58.46
304,F13,F,13,8,2.50GY,5,51.57,-18.37,55.88
280,F14,F,14,8,5.00GY,5,51.57,-25.02,50.55
195,F15,F,15,10,7.50GY,5,51.57,-40.14,52.84
20,F16,F,16,12,10.00GY,5,51.57,-56.86,49.22
202,F17,F,17,12,2.50G,5,51.57,-63.28,28.95
85,F18,F,18,10,5.00G,5,51.57,-52.87,15.46
299,F19,F,19,10,7.50G,5,51.57,-52.69,9.7
223,F20,F,20,10,10.00G,5,51.57,-51.99,4.46
301,F21,F,21,10,2.50BG,5,51.57,-51.2,-1.36
316,F22,F,22,8,5.00BG,5,51.57,-38.59,-7
238,F23,F,23,8,7.50BG,5,51.57,-36.19,-11.99
77,F24,F,24,8,10.00BG,5,51.57,-32.36,-17.71
307,F25,F,25,8,2.50B,5,51.57,-27.95,-22.24
188,F26,F,26,8,5.00B,5,51.57,-21.72,-26.63
169,F27,F,27,8,7.50B,5,51.57,-15.72,-29.08
34,F28,F,28,10,10.00B,5,51.57,-11.88,-38.56
164,F29,F,29,12,2.50PB,5,51.57,-3.41,-48.08
291,F30,F,30,12,5.00PB,5,51.57,5.02,-48.35
220,F31,F,31,10,7.50PB,5,51.57,14.19,-39.14
247,F32,F,32,10,10.00PB,5,51.57,22.05,-37.02
192,F33,F,33,10,2.50P,5,51.57,27.4,-33.72
23,F34,F,34,10,5.00P,5,51.57,31.24,-29.94
231,F35,F,35,10,7.50P,5,51.57,35.21,-24.66
269,F36,F,36,12,10.00P,5,51.57,46.17,-23.4
203,F37,F,37,12,2.50RP,5,51.57,48.98,-15.95
207,F38,F,38,12,5.00RP,5,51.57,51.2,-5.84
65,F39,F,39,14,7.50RP,5,51.57,59.69,1.53
112,F40,F,40,14,10.00RP,5,51.57,59.79,10.72
154,G0,G,0,0,10.00RP,4,41.22,-0.03,0.03
98,G1,G,1,14,2.50R,4,41.22,61.4,17.92
148,G2,G,2,14,5.00R,4,41.22,59.5,30.17
245,G3,G,3,14,7.50R,4,41.22,56.6,40.99
132,G4,G,4,14,10.00R,4,41.22,51.06,58.81
266,G5,G,5,10,2.50YR,4,41.22,32.37,46.62
9,G6,G,6,8,5.00YR,4,41.22,22.15,41.13
329,G7,G,7,8,7.50YR,4,41.22,17.04,45.95
295,G8,G,8,6,10.00YR,4,41.22,9.31,37.8
183,G9,G,9,6,2.50Y,4,41.22,4.42,40.43
232,G10,G,10,6,5.00Y,4,41.22,-0.21,42.37
103,G11,G,11,6,7.50Y,4,41.22,-4.87,43.26
69,G12,G,12,6,10.00Y,4,41.22,-9.31,43.05
165,G13,G,13,6,2.50GY,4,41.22,-14.57,40.52
171,G14,G,14,6,5.00GY,4,41.22,-19.48,36.56
54,G15,G,15,8,7.50GY,4,41.22,-33.18,41.15
39,G16,G,16,8,10.00GY,4,41.22,-38.39,31.53
122,G17,G,17,10,2.50G,4,41.22,-53.57,23.28
234,G18,G,18,10,5.00G,4,41.22,-54.08,14.27
72,G19,G,19,10,7.50G,4,41.22,-53.43,8.61
156,G20,G,20,10,10.00G,4,41.22,-52.68,3.36
281,G21,G,21,8,2.50BG,4,41.22,-41.21,-2.07
191,G22,G,22,8,5.00BG,4,41.22,-39.09,-8.33
163,G23,G,23,8,7.50BG,4,41.22,-36.33,-13.61
25,G24,G,24,6,10.00BG,4,41.22,-24.01,-14.24
123,G25,G,25,6,2.50B,4,41.22,-20.46,-17.64
93,G26,G,26,8,5.00B,4,41.22,-21.08,-28.21
311,G27,G,27,8,7.50B,4,41.22,-14.67,-30.69
80,G28,G,28,10,10.00B,4,41.22,-10.54,-39.65
64,G29,G,29,10,2.50PB,4,41.22,-2.09,-40.81
235,G30,G,30,12,5.00PB,4,41.22,7.17,-48.94
109,G31,G,31,12,7.50PB,4,41.22,20.81,-48.05
205,G32,G,32,10,10.00PB,4,41.22,24.29,-38.02
222,G33,G,33,10,2.50P,4,41.22,29.49,-34.06
184,G34,G,34,10,5.00P,4,41.22,33.08,-30.5
105,G35,G,35,10,7.50P,4,41.22,36.48,-25.75
88,G36,G,36,12,10.00P,4,41.22,46.93,-24.7
135,G37,G,37,12,2.50RP,4,41.22,49.84,-17.34
276,G38,G,38,12,5.00RP,4,41.22,51.84,-8.08
38,G39,G,39,12,7.50RP,4,41.22,52.58,-0.05
162,G40,G,40,14,10.00RP,4,41.22,61.57,8.63
79,H0,H,0,0,10.00RP,3,30.77,-0.02,0.03
115,H1,H,1,10,2.50R,3,30.77,47.34,12.58
61,H2,H,2,10,5.00R,3,30.77,46.08,20.6
41,H3,H,3,12,7.50R,3,30.77,52.68,34.06
259,H4,H,4,10,10.00R,3,30.77,40.89,36.03
240,H5,H,5,8,2.50YR,3,30.77,28.16,36.05
283,H6,H,6,6,5.00YR,3,30.77,18.18,30.27
157,H7,H,7,6,7.50YR,3,30.77,13.89,33.8
51,H8,H,8,6,10.00YR,3,30.77,9.51,37.16
155,H9,H,9,4,2.50Y,3,30.77,3.1,25.71
24,H10,H,10,4,5.00Y,3,30.77,-0.15,26.58
309,H11,H,11,4,7.50Y,3,30.77,-3.32,26.87
130,H12,H,12,4,10.00Y,3,30.77,-6.44,26.57
216,H13,H,13,4,2.50GY,3,30.77,-10.05,24.97
111,H14,H,14,4,5.00GY,3,30.77,-13.04,21.97
137,H15,H,15,6,7.50GY,3,30.77,-23.96,27.29
328,H16,H,16,6,10.00GY,3,30.77,-27.26,20.69
265,H17,H,17,8,2.50G,3,30.77,-39.23,16.6
133,H18,H,18,8,5.00G,3,30.77,-39.62,10.61
168,H19,H,19,10,7.50G,3,30.77,-49.93,6.94
323,H20,H,20,8,10.00G,3,30.77,-39.18,2.14
249,H21,H,21,6,2.50BG,3,30.77,-29.07,-1.92
