subj,género,edad,edad aprendizaje del espanol,ocupación,donde ha crecido (los primeros 15 años),fecha,grabación,lugar de grabación
ec_1,femenino,25,4,estudiante,c.c.n.n. (bena jema),28/07/2017,9,bena jema
ec_2,masculino,25,5,comerciante,a.a.h.h. (hona joki),28/07/2017,8,bena jema
ec_3,femenino,30,5,ama de casa,a.a.h.h. (hona joki),28/07/2017,7,bena jema
ec_4,femenino,60,5,artesana,c.c.n.n. (iparia),28/07/2017,6,bena jema
ec_5,femenino,27,3,artesana,c.c.n.n. (bena jema),28/07/2017,5,bena jema
ec_6,femenino,27,3,estudiante,c.c.n.n. (santa maria),28/07/2017,4,bena jema
ec_7,masculino,25,3,estudiante,c.c.n.n. (bena jema),28/07/2017,3,bena jema
ec_8,masculino,25,3,estudiante,c.c.n.n. (bena jema),28/07/2017,2,bena jema
ec_9,femenino,38,3,ama de casa,c.c.n.n. (irazola),28/07/2017,1,bena jema
ec_10,femenino,23,6,ama de casa,c.c.n.n. (san francisco),31/07/2017,10,san francisco
ec_11,femenino,28,5,artesana,c.c.n.n. (san francisco),31/07/2017,9,san francisco
ec_12,femenino,23,3,ama de casa,c.c.n.n. (san francisco),31/07/2017,8,san francisco
ec_13,femenino,25,4,estudiante,c.c.n.n. (san francisco),31/07/2017,7,san francisco
ec_14,femenino,20,5,estudiante,c.c.n.n. (san francisco),31/07/2017,6,san francisco
ec_15,masculino,32,3,agricultor,c.c.n.n. (san francisco),31/07/2017,5,san francisco
ec_16,femenino,28,3,agricultora,c.c.n.n. (san francisco),31/07/2017,4,san francisco
ec_17,femenino,38,5,artesana,c.c.n.n. (san francisco),31/07/2017,3,san francisco
ec_18,femenino,25,4,estudiante,c.c.n.n. (egipto),31/07/2017,2,san francisco
ec_19,femenino,28,5,artesana,c.c.n.n. (palestina),31/07/2017,1,san francisco
