subj,task,nombre del grupo,cuantas tarjetas,mas,menos,mejor ej,peor ej
gc_4,2,josho,,A35,C32,A39,D0
gc_4,2,yame,,I8,I18,I13,H7
gc_4,2,yame,,I13,H0,I10,I4
gc_4,2,wiso,,H38,I0,H35,F0
gc_4,2,wiso,,I30,H9,I14,C0
gc_4,2,barrin poi,,G17,B14,E12,C17
gc_4,2,barrin poi,,E14,B12,G13,G12
gc_4,2,panshin,,C10,B14,D9,C15
gc_4,2,panshin,,E8,B13,C11,E7
gc_4,2,chexe,,,,,
gc_4,2,chexe,,,,,
gc_4,2,pene,,,,,
gc_4,2,pene,,,,,
gc_4,2,jimi,,H3,F4,G3,G17
gc_4,2,jimi,,I1,G5,H1,F1
gc_4,2,nai,,F28,E24,G28,D23
gc_4,2,nai,,H30,F30,E28,D30
gc_4,2,carri,,C8,B13,C8,B14
gc_4,2,carri,,C10,B9,D7,D14
gc_4,2,pei,,G16,E13,G15,D13
gc_4,2,pei,,F16,D18,G17,C12
gc_4,2,xo,,,,,
gc_4,2,xo,,,,,
gc_4,2,mai,,E0,C0,I0,B0
gc_4,2,mai,,H0,B1,F0,I10
gc_4,2,xexe,,B6,A9,D5,D1
gc_4,2,xexe,,B4,B8,E6,E6
gc_4,2,ami,,I32,G33,G34,D33
gc_4,2,ami,,I36,D35,G32,C32
gc_5,1,yankon,29,,,,
gc_5,1,yankon,29,,,,
gc_5,1,panshin,12,,,,
gc_5,1,panshin,12,,,,
gc_5,1,joxo,17,,,,
gc_5,1,joxo,17,,,,
gc_5,1,joshin,17,,,,
gc_5,1,joshin,17,,,,
gc_5,2,yankon,,,,,
gc_5,2,yankon,,,,,
gc_5,2,paxna,,,,,
gc_5,2,paxna,,,,,
gc_5,2,joshin,,,,,
gc_5,2,joshin,,,,,
gc_5,2,manshan,,,,,
gc_5,2,manshan,,,,,
gc_5,2,josho,,,,,
gc_5,2,josho,,,,,
gc_5,2,yame,,,,,
gc_5,2,yame,,,,,
gc_5,2,wiso,,,,,
gc_5,2,wiso,,,,,
gc_5,2,barrin poi,,,,,
gc_5,2,barrin poi,,,,,
gc_5,2,panshin,,,,,
gc_5,2,panshin,,,,,
gc_5,2,chexe,,,,,
gc_5,2,chexe,,,,,
gc_5,2,pene,,,,,
gc_5,2,pene,,,,,
gc_5,2,jimi,,,,,
gc_5,2,jimi,,,,,
gc_5,2,nai,,,,,
gc_5,2,nai,,,,,
gc_5,2,carri,,,,,
gc_5,2,carri,,,,,
gc_5,2,pei,,,,,
gc_5,2,pei,,,,,
gc_5,2,xo,,,,,
gc_5,2,xo,,,,,
gc_5,2,mai,,,,,
gc_5,2,mai,,,,,
gc_5,2,xexe,,,,,
gc_5,2,xexe,,,,,
gc_5,2,ami,,,,,
gc_5,2,ami,,,,,
gc_6,1,joxo,10,,,,
gc_6,1,joxo,10,,,,
gc_6,1,joshin,24,,,,
gc_6,1,joshin,24,,,,
gc_6,1,yankon,10,,,,
gc_6,1,yankon,10,,,,
gc_6,1,panshin,10,,,,
gc_6,1,panshin,10,,,,
gc_6,1,manxan,21,,,,
gc_6,1,manxan,21,,,,
gc_6,2,yankon,,,,,
gc_6,2,yankon,,,,,
gc_6,2,paxna,,,,,
gc_6,2,paxna,,,,,
gc_6,2,joshin,,,,,
gc_6,2,joshin,,,,,
gc_6,2,manshan,,,,,
gc_6,2,manshan,,,,,
gc_6,2,josho,,,,,
gc_6,2,josho,,,,,
gc_6,2,yame,,,,,
gc_6,2,yame,,,,,
gc_6,2,wiso,,,,,
gc_6,2,wiso,,,,,
gc_6,2,barrin poi,,,,,
gc_6,2,barrin poi,,,,,
gc_6,2,panshin,,,,,
gc_6,2,panshin,,,,,
gc_6,2,chexe,,,,,
gc_6,2,chexe,,,,,
gc_6,2,pene,,,,,
gc_6,2,pene,,,,,
gc_6,2,jimi,,,,,
gc_6,2,jimi,,,,,
gc_6,2,nai,,,,,
gc_6,2,nai,,,,,
gc_6,2,carri,,,,,
gc_6,2,carri,,,,,
gc_6,2,pei,,,,,
gc_6,2,pei,,,,,
gc_6,2,xo,,,,,
gc_6,2,xo,,,,,
gc_6,2,mai,,,,,
gc_6,2,mai,,,,,
gc_6,2,xexe,,,,,
gc_6,2,xexe,,,,,
gc_6,2,ami,,,,,
gc_6,2,ami,,,,,
gc_7,1,joshin,14,,,,
gc_7,1,joshin,14,,,,
gc_7,1,carri,6,,,,
gc_7,1,carri,6,,,,
gc_7,1,manxan,5,,,,
gc_7,1,manxan,5,,,,
gc_7,1,panshin,15,,,,
gc_7,1,panshin,15,,,,
gc_7,1,joxo,9,,,,
gc_7,1,joxo,9,,,,
gc_7,1,yankon,26,,,,
gc_7,1,yankon,26,,,,
gc_7,2,yankon,,,,,
gc_7,2,yankon,,,,,
gc_7,2,paxna,,,,,
gc_7,2,paxna,,,,,
gc_7,2,joshin,,,,,
gc_7,2,joshin,,,,,
gc_7,2,manshan,,,,,
gc_7,2,manshan,,,,,
gc_7,2,josho,,,,,
gc_7,2,josho,,,,,
gc_7,2,yame,,,,,
gc_7,2,yame,,,,,
gc_7,2,wiso,,,,,
gc_7,2,wiso,,,,,
gc_7,2,barrin poi,,,,,
gc_7,2,barrin poi,,,,,
gc_7,2,panshin,,,,,
gc_7,2,panshin,,,,,
gc_7,2,chexe,,,,,
gc_7,2,chexe,,,,,
gc_7,2,pene,,,,,
gc_7,2,pene,,,,,
gc_7,2,jimi,,,,,
gc_7,2,jimi,,,,,
gc_7,2,nai,,,,,
gc_7,2,nai,,,,,
gc_7,2,carri,,,,,
gc_7,2,carri,,,,,
gc_7,2,pei,,,,,
gc_7,2,pei,,,,,
gc_7,2,xo,,,,,
gc_7,2,xo,,,,,
gc_7,2,mai,,,,,
gc_7,2,mai,,,,,
gc_7,2,xexe,,,,,
gc_7,2,xexe,,,,,
gc_7,2,ami,,,,,
gc_7,2,ami,,,,,
gc_8,1,yankon,36,,,,
gc_8,1,yankon,36,,,,
gc_8,1,joxo,10,,,,
gc_8,1,joxo,10,,,,
gc_8,1,panshin,13,,,,
gc_8,1,panshin,13,,,,
gc_8,1,joshin,16,,,,
gc_8,1,joshin,16,,,,
gc_8,2,yankon,,,,,
gc_8,2,yankon,,,,,
gc_8,2,paxna,,,,,
gc_8,2,paxna,,,,,
gc_8,2,joshin,,,,,
gc_8,2,joshin,,,,,
gc_8,2,manshan,,,,,
gc_8,2,manshan,,,,,
gc_8,2,josho,,,,,
gc_8,2,josho,,,,,
gc_8,2,yame,,,,,
gc_8,2,yame,,,,,
gc_8,2,wiso,,,,,
gc_8,2,wiso,,,,,
gc_8,2,barrin poi,,,,,
gc_8,2,barrin poi,,,,,
gc_8,2,panshin,,,,,
gc_8,2,panshin,,,,,
gc_8,2,chexe,,,,,
gc_8,2,chexe,,,,,
gc_8,2,pene,,,,,
gc_8,2,pene,,,,,
gc_8,2,jimi,,,,,
gc_8,2,jimi,,,,,
gc_8,2,nai,,,,,
gc_8,2,nai,,,,,
gc_8,2,carri,,,,,
gc_8,2,carri,,,,,
gc_8,2,pei,,,,,
gc_8,2,pei,,,,,
gc_8,2,xo,,,,,
gc_8,2,xo,,,,,
gc_8,2,mai,,,,,
gc_8,2,mai,,,,,
gc_8,2,xexe,,,,,
gc_8,2,xexe,,,,,
gc_8,2,ami,,,,,
gc_8,2,ami,,,,,
gc_9,1,panshin,17,,,,
gc_9,1,panshin,17,,,,
gc_9,1,joshin,23,,,,
gc_9,1,joshin,23,,,,
gc_9,1,joxo,11,,,,
gc_9,1,joxo,11,,,,
gc_9,1,yankon,24,,,,
gc_9,1,yankon,24,,,,
gc_9,2,yankon,,,,,
gc_9,2,yankon,,,,,
gc_9,2,paxna,,,,,
gc_9,2,paxna,,,,,
gc_9,2,joshin,,,,,
gc_9,2,joshin,,,,,
gc_9,2,manshan,,,,,
gc_9,2,manshan,,,,,
gc_9,2,josho,,,,,
gc_9,2,josho,,,,,
gc_9,2,yame,,,,,
gc_9,2,yame,,,,,
gc_9,2,wiso,,,,,
gc_9,2,wiso,,,,,
gc_9,2,barrin poi,,,,,
gc_9,2,barrin poi,,,,,
gc_9,2,panshin,,,,,
gc_9,2,panshin,,,,,
gc_9,2,chexe,,,,,
gc_9,2,chexe,,,,,
gc_9,2,pene,,,,,
gc_9,2,pene,,,,,
gc_9,2,jimi,,,,,
gc_9,2,jimi,,,,,
gc_9,2,nai,,,,,
gc_9,2,nai,,,,,
gc_9,2,carri,,,,,
gc_9,2,carri,,,,,
gc_9,2,pei,,,,,
gc_9,2,pei,,,,,
gc_9,2,xo,,,,,
gc_9,2,xo,,,,,
gc_9,2,mai,,,,,
gc_9,2,mai,,,,,
gc_9,2,xexe,,,,,
gc_9,2,xexe,,,,,
gc_9,2,ami,,,,,
gc_9,2,ami,,,,,
gc_10,1,yankon,34,,,,
gc_10,1,yankon,34,,,,
gc_10,1,joshin,11,,,,
gc_10,1,joshin,11,,,,
gc_10,1,panshin,11,,,,
gc_10,1,panshin,11,,,,
gc_10,1,manxan,9,,,,
gc_10,1,manxan,9,,,,
gc_10,1,narranxa,10,,,,
gc_10,1,narranxa,10,,,,
gc_10,2,yankon,,,,,
gc_10,2,yankon,,,,,
gc_10,2,paxna,,,,,
gc_10,2,paxna,,,,,
gc_10,2,joshin,,,,,
gc_10,2,joshin,,,,,
gc_10,2,manshan,,,,,
gc_10,2,manshan,,,,,
gc_10,2,josho,,,,,
gc_10,2,josho,,,,,
gc_10,2,yame,,,,,
gc_10,2,yame,,,,,
gc_10,2,wiso,,,,,
gc_10,2,wiso,,,,,
gc_10,2,barrin poi,,,,,
gc_10,2,barrin poi,,,,,
gc_10,2,panshin,,,,,
gc_10,2,panshin,,,,,
gc_10,2,chexe,,,,,
gc_10,2,chexe,,,,,
gc_10,2,pene,,,,,
gc_10,2,pene,,,,,
gc_10,2,jimi,,,,,
gc_10,2,jimi,,,,,
gc_10,2,nai,,,,,
gc_10,2,nai,,,,,
gc_10,2,carri,,,,,
gc_10,2,carri,,,,,
gc_10,2,pei,,,,,
gc_10,2,pei,,,,,
gc_10,2,xo,,,,,
gc_10,2,xo,,,,,
gc_10,2,mai,,,,,
gc_10,2,mai,,,,,
gc_10,2,xexe,,,,,
gc_10,2,xexe,,,,,
gc_10,2,ami,,,,,
gc_10,2,ami,,,,,
gc_11,1,joxo,15,,,,
gc_11,1,joxo,15,,,,
gc_11,1,xo,25,,,,
gc_11,1,xo,25,,,,
gc_11,1,panshin,16,,,,
gc_11,1,panshin,16,,,,
gc_11,1,joa,19,,,,
gc_11,1,joa,19,,,,
gc_11,2,yankon,,,,,
gc_11,2,yankon,,,,,
gc_11,2,paxna,,,,,
gc_11,2,paxna,,,,,
gc_11,2,joshin,,,,,
gc_11,2,joshin,,,,,
gc_11,2,manshan,,,,,
gc_11,2,manshan,,,,,
gc_11,2,josho,,,,,
gc_11,2,josho,,,,,
gc_11,2,yame,,,,,
gc_11,2,yame,,,,,
gc_11,2,wiso,,,,,
gc_11,2,wiso,,,,,
gc_11,2,barrin poi,,,,,
gc_11,2,barrin poi,,,,,
gc_11,2,panshin,,,,,
gc_11,2,panshin,,,,,
gc_11,2,chexe,,,,,
gc_11,2,chexe,,,,,
gc_11,2,pene,,,,,
gc_11,2,pene,,,,,
gc_11,2,jimi,,,,,
gc_11,2,jimi,,,,,
gc_11,2,nai,,,,,
gc_11,2,nai,,,,,
gc_11,2,carri,,,,,
gc_11,2,carri,,,,,
gc_11,2,pei,,,,,
gc_11,2,pei,,,,,
gc_11,2,xo,,,,,
gc_11,2,xo,,,,,
gc_11,2,mai,,,,,
gc_11,2,mai,,,,,
gc_11,2,xexe,,,,,
gc_11,2,xexe,,,,,
gc_11,2,ami,,,,,
gc_11,2,ami,,,,,
gc_12,1,panshin,15,,,,
gc_12,1,panshin,15,,,,
gc_12,1,joxo,11,,,,
gc_12,1,joxo,11,,,,
gc_12,1,jimi manxan,11,,,,
gc_12,1,jimi manxan,11,,,,
gc_12,1,joshin,13,,,,
gc_12,1,joshin,13,,,,
gc_12,1,yankon,25,,,,
gc_12,1,yankon,25,,,,
gc_12,2,yankon,,,,,
gc_12,2,yankon,,,,,
gc_12,2,paxna,,,,,
gc_12,2,paxna,,,,,
gc_12,2,joshin,,,,,
gc_12,2,joshin,,,,,
gc_12,2,manshan,,,,,
gc_12,2,manshan,,,,,
gc_12,2,josho,,,,,
gc_12,2,josho,,,,,
gc_12,2,yame,,,,,
gc_12,2,yame,,,,,
gc_12,2,wiso,,,,,
gc_12,2,wiso,,,,,
gc_12,2,barrin poi,,,,,
gc_12,2,barrin poi,,,,,
gc_12,2,panshin,,,,,
gc_12,2,panshin,,,,,
gc_12,2,chexe,,,,,
gc_12,2,chexe,,,,,
gc_12,2,pene,,,,,
gc_12,2,pene,,,,,
gc_12,2,jimi,,,,,
gc_12,2,jimi,,,,,
gc_12,2,nai,,,,,
gc_12,2,nai,,,,,
gc_12,2,carri,,,,,
gc_12,2,carri,,,,,
gc_12,2,pei,,,,,
gc_12,2,pei,,,,,
gc_12,2,xo,,,,,
gc_12,2,xo,,,,,
gc_12,2,mai,,,,,
gc_12,2,mai,,,,,
gc_12,2,xexe,,,,,
gc_12,2,xexe,,,,,
gc_12,2,ami,,,,,
gc_12,2,ami,,,,,
gc_13,1,yankon,29,,,,
gc_13,1,yankon,29,,,,
gc_13,1,manxan,8,,,,
gc_13,1,manxan,8,,,,
gc_13,1,joxo,9,,,,
gc_13,1,joxo,9,,,,
gc_13,1,panshin,14,,,,
gc_13,1,panshin,14,,,,
gc_13,1,joshin,15,,,,
gc_13,1,joshin,15,,,,
gc_13,2,yankon,,,,,
gc_13,2,yankon,,,,,
gc_13,2,paxna,,,,,
gc_13,2,paxna,,,,,
gc_13,2,joshin,,,,,
gc_13,2,joshin,,,,,
gc_13,2,manshan,,,,,
gc_13,2,manshan,,,,,
gc_13,2,josho,,,,,
gc_13,2,josho,,,,,
gc_13,2,yame,,,,,
gc_13,2,yame,,,,,
gc_13,2,wiso,,,,,
gc_13,2,wiso,,,,,
gc_13,2,barrin poi,,,,,
gc_13,2,barrin poi,,,,,
gc_13,2,panshin,,,,,
gc_13,2,panshin,,,,,
gc_13,2,chexe,,,,,
gc_13,2,chexe,,,,,
gc_13,2,pene,,,,,
gc_13,2,pene,,,,,
gc_13,2,jimi,,,,,
gc_13,2,jimi,,,,,
gc_13,2,nai,,,,,
gc_13,2,nai,,,,,
gc_13,2,carri,,,,,
gc_13,2,carri,,,,,
gc_13,2,pei,,,,,
gc_13,2,pei,,,,,
gc_13,2,xo,,,,,
gc_13,2,xo,,,,,
gc_13,2,mai,,,,,
gc_13,2,mai,,,,,
gc_13,2,xexe,,,,,
gc_13,2,xexe,,,,,
gc_13,2,ami,,,,,
gc_13,2,ami,,,,,
gc_14,1,joshin,15,,,,
gc_14,1,joshin,15,,,,
gc_14,1,joxo,10,,,,
gc_14,1,joxo,10,,,,
gc_14,1,panshin,13,,,,
gc_14,1,panshin,13,,,,
gc_14,1,carri,7,,,,
gc_14,1,carri,7,,,,
gc_14,1,yankon,30,,,,
gc_14,1,yankon,30,,,,
gc_14,2,yankon,,,,,
gc_14,2,yankon,,,,,
gc_14,2,paxna,,,,,
gc_14,2,paxna,,,,,
gc_14,2,joshin,,,,,
gc_14,2,joshin,,,,,
gc_14,2,manshan,,,,,
gc_14,2,manshan,,,,,
gc_14,2,josho,,,,,
gc_14,2,josho,,,,,
gc_14,2,yame,,,,,
gc_14,2,yame,,,,,
gc_14,2,wiso,,,,,
gc_14,2,wiso,,,,,
gc_14,2,barrin poi,,,,,
gc_14,2,barrin poi,,,,,
gc_14,2,panshin,,,,,
gc_14,2,panshin,,,,,
gc_14,2,chexe,,,,,
gc_14,2,chexe,,,,,
gc_14,2,pene,,,,,
gc_14,2,pene,,,,,
gc_14,2,jimi,,,,,
gc_14,2,jimi,,,,,
gc_14,2,nai,,,,,
gc_14,2,nai,,,,,
gc_14,2,carri,,,,,
gc_14,2,carri,,,,,
gc_14,2,pei,,,,,
gc_14,2,pei,,,,,
gc_14,2,xo,,,,,
gc_14,2,xo,,,,,
gc_14,2,mai,,,,,
gc_14,2,mai,,,,,
gc_14,2,xexe,,,,,
gc_14,2,xexe,,,,,
gc_14,2,ami,,,,,
gc_14,2,ami,,,,,
gc_15,1,joshin,22,,,,
gc_15,1,joshin,22,,,,
gc_15,1,joxo,8,,,,
gc_15,1,joxo,8,,,,
gc_15,1,panshin,11,,,,
gc_15,1,panshin,11,,,,
gc_15,1,yankon,34,,,,
gc_15,1,yankon,34,,,,
gc_15,2,yankon,,,,,
gc_15,2,yankon,,,,,
gc_15,2,paxna,,,,,
gc_15,2,paxna,,,,,
gc_15,2,joshin,,,,,
gc_15,2,joshin,,,,,
gc_15,2,manshan,,,,,
gc_15,2,manshan,,,,,
gc_15,2,josho,,,,,
gc_15,2,josho,,,,,
gc_15,2,yame,,,,,
gc_15,2,yame,,,,,
gc_15,2,wiso,,,,,
gc_15,2,wiso,,,,,
gc_15,2,barrin poi,,,,,
gc_15,2,barrin poi,,,,,
gc_15,2,panshin,,,,,
gc_15,2,panshin,,,,,
gc_15,2,chexe,,,,,
gc_15,2,chexe,,,,,
gc_15,2,pene,,,,,
gc_15,2,pene,,,,,
gc_15,2,jimi,,,,,
gc_15,2,jimi,,,,,
gc_15,2,nai,,,,,
gc_15,2,nai,,,,,
gc_15,2,carri,,,,,
gc_15,2,carri,,,,,
gc_15,2,pei,,,,,
gc_15,2,pei,,,,,
gc_15,2,xo,,,,,
gc_15,2,xo,,,,,
gc_15,2,mai,,,,,
gc_15,2,mai,,,,,
gc_15,2,xexe,,,,,
gc_15,2,xexe,,,,,
gc_15,2,ami,,,,,
gc_15,2,ami,,,,,
gc_16,1,yankon,29,,,,
gc_16,1,yankon,29,,,,
gc_16,1,joxo,10,,,,
gc_16,1,joxo,10,,,,
gc_16,1,joshin,18,,,,
gc_16,1,joshin,18,,,,
gc_16,1,panshin,18,,,,
gc_16,1,panshin,18,,,,
gc_16,2,yankon,,,,,
gc_16,2,yankon,,,,,
gc_16,2,paxna,,,,,
gc_16,2,paxna,,,,,
gc_16,2,joshin,,,,,
gc_16,2,joshin,,,,,
gc_16,2,manshan,,,,,
gc_16,2,manshan,,,,,
gc_16,2,josho,,,,,
gc_16,2,josho,,,,,
gc_16,2,yame,,,,,
gc_16,2,yame,,,,,
gc_16,2,wiso,,,,,
gc_16,2,wiso,,,,,
gc_16,2,barrin poi,,,,,
gc_16,2,barrin poi,,,,,
gc_16,2,panshin,,,,,
gc_16,2,panshin,,,,,
gc_16,2,chexe,,,,,
gc_16,2,chexe,,,,,
gc_16,2,pene,,,,,
gc_16,2,pene,,,,,
gc_16,2,jimi,,,,,
gc_16,2,jimi,,,,,
gc_16,2,nai,,,,,
gc_16,2,nai,,,,,
gc_16,2,carri,,,,,
gc_16,2,carri,,,,,
gc_16,2,pei,,,,,
gc_16,2,pei,,,,,
gc_16,2,xo,,,,,
gc_16,2,xo,,,,,
gc_16,2,mai,,,,,
gc_16,2,mai,,,,,
gc_16,2,xexe,,,,,
gc_16,2,xexe,,,,,
gc_16,2,ami,,,,,
gc_16,2,ami,,,,,
gc_17,1,joshin,17,,,,
gc_17,1,joshin,17,,,,
gc_17,1,panshin,14,,,,
gc_17,1,panshin,14,,,,
gc_17,1,yankon,34,,,,
gc_17,1,yankon,34,,,,
gc_17,1,joxo,10,,,,
gc_17,1,joxo,10,,,,
gc_17,2,yankon,,,,,
gc_17,2,yankon,,,,,
gc_17,2,paxna,,,,,
gc_17,2,paxna,,,,,
gc_17,2,joshin,,,,,
gc_17,2,joshin,,,,,
gc_17,2,manshan,,,,,
gc_17,2,manshan,,,,,
gc_17,2,josho,,,,,
gc_17,2,josho,,,,,
gc_17,2,yame,,,,,
gc_17,2,yame,,,,,
gc_17,2,wiso,,,,,
gc_17,2,wiso,,,,,
gc_17,2,barrin poi,,,,,
gc_17,2,barrin poi,,,,,
gc_17,2,panshin,,,,,
gc_17,2,panshin,,,,,
gc_17,2,chexe,,,,,
gc_17,2,chexe,,,,,
gc_17,2,pene,,,,,
gc_17,2,pene,,,,,
