subj,tarea,grupo,prompt,response_1,response_2,response_3
mc_1,0,2,shoo,,,
mc_1,0,2,kurrum,,,
mc_1,0,2,kashu,,,
mc_1,0,2,oshne,,,
mc_1,0,2,mandi,,,
mc_1,0,2,kuin,,,
mc_1,0,2,emu,,,
mc_1,0,2,ami,,,
mc_1,0,2,nete,,,
mc_1,0,2,ambi,,,
mc_1,0,2,xexe,,,
mc_1,0,2,coro,,,
mc_1,0,2,xena,,,
mc_1,0,2,kexketi,,,
mc_1,0,2,pene,,,
mc_1,0,2,mai,,,
mc_1,0,2,bexnan,,,
mc_1,0,2,xo,,,
mc_1,0,2,chexe,,,
mc_1,0,2,pei,,,
mc_1,0,2,barrin poi,,,
mc_1,0,2,maxe,,,
mc_1,0,2,carri,,,
mc_1,0,2,yame,,,
mc_1,0,2,chimapu,,,
mc_1,0,2,nai,,,
mc_1,0,2,manxan,,,
mc_1,0,2,jimi,,,
mc_1,0,2,paxna,,,
mc_1,0,2,kununmbi,,,
mc_1,0,2,pua,,,
mc_1,0,2,joshin,,,
mc_2,,,shoo,,,
mc_2,,,kurrum,,,
mc_2,,,kashu,,,
mc_2,,,oshne,,,
mc_2,,,mandi,,,
mc_2,,,kuin,,,
mc_2,,,emu,,,
mc_2,,,ami,,,
mc_2,,,nete,,,
mc_2,,,ambi,,,
mc_2,,,xexe,,,
mc_2,,,coro,,,
mc_2,,,xena,,,
mc_2,,,kexketi,,,
mc_2,,,pene,,,
mc_2,,,mai,,,
mc_2,,,bexnan,,,
mc_2,,,xo,,,
mc_2,,,chexe,,,
mc_2,,,pei,,,
mc_2,,,barrin poi,,,
mc_2,,,maxe,,,
mc_2,,,carri,,,
mc_2,,,yame,,,
mc_2,,,chimapu,,,
mc_2,,,nai,,,
mc_2,,,manxan,,,
mc_2,,,jimi,,,
mc_2,,,paxna,,,
mc_2,,,kununmbi,,,
mc_2,,,pua,,,
mc_2,,,joshin,,,
mc_3,,,shoo,,,
mc_3,,,kurrum,,,
mc_3,,,kashu,,,
mc_3,,,oshne,,,
mc_3,,,mandi,,,
mc_3,,,kuin,,,
mc_3,,,emu,,,
mc_3,,,ami,,,
mc_3,,,nete,,,
mc_3,,,ambi,,,
mc_3,,,xexe,,,
mc_3,,,coro,,,
mc_3,,,xena,,,
mc_3,,,kexketi,,,
mc_3,,,pene,,,
mc_3,,,mai,,,
mc_3,,,bexnan,,,
mc_3,,,xo,,,
mc_3,,,chexe,,,
mc_3,,,pei,,,
mc_3,,,barrin poi,,,
mc_3,,,maxe,,,
mc_3,,,carri,,,
mc_3,,,yame,,,
mc_3,,,chimapu,,,
mc_3,,,nai,,,
mc_3,,,manxan,,,
mc_3,,,jimi,,,
mc_3,,,paxna,,,
mc_3,,,kununmbi,,,
mc_3,,,pua,,,
mc_3,,,joshin,,,
mc_4,,,shoo,,,
mc_4,,,kurrum,,,
mc_4,,,kashu,,,
mc_4,,,oshne,,,
mc_4,,,mandi,,,
mc_4,,,kuin,,,
mc_4,,,emu,,,
mc_4,,,ami,,,
mc_4,,,nete,,,
mc_4,,,ambi,,,
mc_4,,,xexe,,,
mc_4,,,coro,,,
mc_4,,,xena,,,
mc_4,,,kexketi,,,
mc_4,,,pene,,,
mc_4,,,mai,,,
mc_4,,,bexnan,,,
mc_4,,,xo,,,
mc_4,,,chexe,,,
mc_4,,,pei,,,
mc_4,,,barrin poi,,,
mc_4,,,maxe,,,
mc_4,,,carri,,,
mc_4,,,yame,,,
mc_4,,,chimapu,,,
mc_4,,,nai,,,
mc_4,,,manxan,,,
mc_4,,,jimi,,,
mc_4,,,paxna,,,
mc_4,,,kununmbi,,,
mc_4,,,pua,,,
mc_4,,,joshin,,,
mc_5,,,shoo,,,
mc_5,,,kurrum,,,
mc_5,,,kashu,,,
mc_5,,,oshne,,,
mc_5,,,mandi,,,
mc_5,,,kuin,,,
mc_5,,,emu,,,
mc_5,,,ami,,,
mc_5,,,nete,,,
mc_5,,,ambi,,,
mc_5,,,xexe,,,
mc_5,,,coro,,,
mc_5,,,xena,,,
mc_5,,,kexketi,,,
mc_5,,,pene,,,
mc_5,,,mai,,,
mc_5,,,bexnan,,,
mc_5,,,xo,,,
mc_5,,,chexe,,,
mc_5,,,pei,,,
mc_5,,,barrin poi,,,
mc_5,,,maxe,,,
mc_5,,,carri,,,
mc_5,,,yame,,,
mc_5,,,chimapu,,,
mc_5,,,nai,,,
mc_5,,,manxan,,,
mc_5,,,jimi,,,
mc_5,,,paxna,,,
mc_5,,,kununmbi,,,
mc_5,,,pua,,,
mc_5,,,joshin,,,
