subj,tarea,grupo,prompt,response_1,response_2,response_3
mc_6,,,shoo,,,
mc_6,,,kurrum,,,
mc_6,,,kashu,,,
mc_6,,,oshne,,,
mc_6,,,mandi,,,
mc_6,,,kuin,,,
mc_6,,,emu,,,
mc_6,,,ami,,,
mc_6,,,nete,,,
mc_6,,,ambi,,,
mc_6,,,xexe,,,
mc_6,,,coro,,,
mc_6,,,xena,,,
mc_6,,,kexketi,,,
mc_6,,,pene,,,
mc_6,,,mai,,,
mc_6,,,bexnan,,,
mc_6,,,xo,,,
mc_6,,,chexe,,,
mc_6,,,pei,,,
mc_6,,,barrin poi,,,
mc_6,,,maxe,,,
mc_6,,,carri,,,
mc_6,,,yame,,,
mc_6,,,chimapu,,,
mc_6,,,nai,,,
mc_6,,,manxan,,,
mc_6,,,jimi,,,
mc_6,,,paxna,,,
mc_6,,,kununmbi,,,
mc_6,,,pua,,,
mc_6,,,joshin,,,
mc_7,,,shoo,,,
mc_7,,,kurrum,,,
mc_7,,,kashu,,,
mc_7,,,oshne,,,
mc_7,,,mandi,,,
mc_7,,,kuin,,,
mc_7,,,emu,,,
mc_7,,,ami,,,
mc_7,,,nete,,,
mc_7,,,ambi,,,
mc_7,,,xexe,,,
mc_7,,,coro,,,
mc_7,,,xena,,,
mc_7,,,kexketi,,,
mc_7,,,pene,,,
mc_7,,,mai,,,
mc_7,,,bexnan,,,
mc_7,,,xo,,,
mc_7,,,chexe,,,
mc_7,,,pei,,,
mc_7,,,barrin poi,,,
mc_7,,,maxe,,,
mc_7,,,carri,,,
mc_7,,,yame,,,
mc_7,,,chimapu,,,
mc_7,,,nai,,,
mc_7,,,manxan,,,
mc_7,,,jimi,,,
mc_7,,,paxna,,,
mc_7,,,kununmbi,,,
mc_7,,,pua,,,
mc_7,,,joshin,,,
mc_8,,,shoo,,,
mc_8,,,kurrum,,,
mc_8,,,kashu,,,
mc_8,,,oshne,,,
mc_8,,,mandi,,,
mc_8,,,kuin,,,
mc_8,,,emu,,,
mc_8,,,ami,,,
mc_8,,,nete,,,
mc_8,,,ambi,,,
mc_8,,,xexe,,,
mc_8,,,coro,,,
mc_8,,,xena,,,
mc_8,,,kexketi,,,
mc_8,,,pene,,,
mc_8,,,mai,,,
mc_8,,,bexnan,,,
mc_8,,,xo,,,
mc_8,,,chexe,,,
mc_8,,,pei,,,
mc_8,,,barrin poi,,,
mc_8,,,maxe,,,
mc_8,,,carri,,,
mc_8,,,yame,,,
mc_8,,,chimapu,,,
mc_8,,,nai,,,
mc_8,,,manxan,,,
mc_8,,,jimi,,,
mc_8,,,paxna,,,
mc_8,,,kununmbi,,,
mc_8,,,pua,,,
mc_8,,,joshin,,,
mc_9,,,shoo,,,
mc_9,,,kurrum,,,
mc_9,,,kashu,,,
mc_9,,,oshne,,,
mc_9,,,mandi,,,
mc_9,,,kuin,,,
mc_9,,,emu,,,
mc_9,,,ami,,,
mc_9,,,nete,,,
mc_9,,,ambi,,,
mc_9,,,xexe,,,
mc_9,,,coro,,,
mc_9,,,xena,,,
mc_9,,,kexketi,,,
mc_9,,,pene,,,
mc_9,,,mai,,,
mc_9,,,bexnan,,,
mc_9,,,xo,,,
mc_9,,,chexe,,,
mc_9,,,pei,,,
mc_9,,,barrin poi,,,
mc_9,,,maxe,,,
mc_9,,,carri,,,
mc_9,,,yame,,,
mc_9,,,chimapu,,,
mc_9,,,nai,,,
mc_9,,,manxan,,,
mc_9,,,jimi,,,
mc_9,,,paxna,,,
mc_9,,,kununmbi,,,
mc_9,,,pua,,,
mc_9,,,joshin,,,
mc_10,,,shoo,,,
mc_10,,,kurrum,,,
mc_10,,,kashu,,,
mc_10,,,oshne,,,
mc_10,,,mandi,,,
mc_10,,,kuin,,,
mc_10,,,emu,,,
mc_10,,,ami,,,
mc_10,,,nete,,,
mc_10,,,ambi,,,
mc_10,,,xexe,,,
mc_10,,,coro,,,
mc_10,,,xena,,,
mc_10,,,kexketi,,,
mc_10,,,pene,,,
mc_10,,,mai,,,
mc_10,,,bexnan,,,
mc_10,,,xo,,,
mc_10,,,chexe,,,
mc_10,,,pei,,,
mc_10,,,barrin poi,,,
mc_10,,,maxe,,,
mc_10,,,carri,,,
mc_10,,,yame,,,
mc_10,,,chimapu,,,
mc_10,,,nai,,,
mc_10,,,manxan,,,
mc_10,,,jimi,,,
mc_10,,,paxna,,,
mc_10,,,kununmbi,,,
mc_10,,,pua,,,
mc_10,,,joshin,,,
mc_11,,,shoo,,,
mc_11,,,kurrum,,,
mc_11,,,kashu,,,
mc_11,,,oshne,,,
mc_11,,,mandi,,,
mc_11,,,kuin,,,
mc_11,,,emu,,,
mc_11,,,ami,,,
mc_11,,,nete,,,
mc_11,,,ambi,,,
mc_11,,,xexe,,,
mc_11,,,coro,,,
mc_11,,,xena,,,
mc_11,,,kexketi,,,
mc_11,,,pene,,,
mc_11,,,mai,,,
mc_11,,,bexnan,,,
mc_11,,,xo,,,
mc_11,,,chexe,,,
mc_11,,,pei,,,
mc_11,,,barrin poi,,,
mc_11,,,maxe,,,
mc_11,,,carri,,,
mc_11,,,yame,,,
mc_11,,,chimapu,,,
mc_11,,,nai,,,
mc_11,,,manxan,,,
mc_11,,,jimi,,,
mc_11,,,paxna,,,
mc_11,,,kununmbi,,,
mc_11,,,pua,,,
mc_11,,,joshin,,,
mc_12,,,shoo,,,
mc_12,,,kurrum,,,
mc_12,,,kashu,,,
mc_12,,,oshne,,,
mc_12,,,mandi,,,
mc_12,,,kuin,,,
mc_12,,,emu,,,
mc_12,,,ami,,,
mc_12,,,nete,,,
mc_12,,,ambi,,,
mc_12,,,xexe,,,
mc_12,,,coro,,,
mc_12,,,xena,,,
mc_12,,,kexketi,,,
mc_12,,,pene,,,
mc_12,,,mai,,,
mc_12,,,bexnan,,,
mc_12,,,xo,,,
mc_12,,,chexe,,,
mc_12,,,pei,,,
mc_12,,,barrin poi,,,
mc_12,,,maxe,,,
mc_12,,,carri,,,
mc_12,,,yame,,,
mc_12,,,chimapu,,,
mc_12,,,nai,,,
mc_12,,,manxan,,,
mc_12,,,jimi,,,
mc_12,,,paxna,,,
mc_12,,,kununmbi,,,
mc_12,,,pua,,,
mc_12,,,joshin,,,
mc_13,,,shoo,,,
mc_13,,,kurrum,,,
mc_13,,,kashu,,,
mc_13,,,oshne,,,
mc_13,,,mandi,,,
mc_13,,,kuin,,,
mc_13,,,emu,,,
mc_13,,,ami,,,
mc_13,,,nete,,,
mc_13,,,ambi,,,
mc_13,,,xexe,,,
mc_13,,,coro,,,
mc_13,,,xena,,,
mc_13,,,kexketi,,,
mc_13,,,pene,,,
mc_13,,,mai,,,
mc_13,,,bexnan,,,
mc_13,,,xo,,,
mc_13,,,chexe,,,
mc_13,,,pei,,,
mc_13,,,barrin poi,,,
mc_13,,,maxe,,,
mc_13,,,carri,,,
mc_13,,,yame,,,
mc_13,,,chimapu,,,
mc_13,,,nai,,,
mc_13,,,manxan,,,
mc_13,,,jimi,,,
mc_13,,,paxna,,,
mc_13,,,kununmbi,,,
mc_13,,,pua,,,
mc_13,,,joshin,,,
mc_14,,,shoo,,,
mc_14,,,kurrum,,,
mc_14,,,kashu,,,
mc_14,,,oshne,,,
mc_14,,,mandi,,,
mc_14,,,kuin,,,
mc_14,,,emu,,,
mc_14,,,ami,,,
mc_14,,,nete,,,
mc_14,,,ambi,,,
mc_14,,,xexe,,,
mc_14,,,coro,,,
mc_14,,,xena,,,
mc_14,,,kexketi,,,
mc_14,,,pene,,,
mc_14,,,mai,,,
mc_14,,,bexnan,,,
mc_14,,,xo,,,
mc_14,,,chexe,,,
mc_14,,,pei,,,
mc_14,,,barrin poi,,,
mc_14,,,maxe,,,
mc_14,,,carri,,,
mc_14,,,yame,,,
mc_14,,,chimapu,,,
mc_14,,,nai,,,
mc_14,,,manxan,,,
mc_14,,,jimi,,,
mc_14,,,paxna,,,
mc_14,,,kununmbi,,,
mc_14,,,pua,,,
mc_14,,,joshin,,,
mc_15,,,shoo,,,
mc_15,,,kurrum,,,
mc_15,,,kashu,,,
mc_15,,,oshne,,,
mc_15,,,mandi,,,
mc_15,,,kuin,,,
mc_15,,,emu,,,
mc_15,,,ami,,,
mc_15,,,nete,,,
mc_15,,,ambi,,,
mc_15,,,xexe,,,
mc_15,,,coro,,,
mc_15,,,xena,,,
mc_15,,,kexketi,,,
mc_15,,,pene,,,
mc_15,,,mai,,,
mc_15,,,bexnan,,,
mc_15,,,xo,,,
mc_15,,,chexe,,,
mc_15,,,pei,,,
mc_15,,,barrin poi,,,
mc_15,,,maxe,,,
mc_15,,,carri,,,
mc_15,,,yame,,,
mc_15,,,chimapu,,,
mc_15,,,nai,,,
mc_15,,,manxan,,,
mc_15,,,jimi,,,
mc_15,,,paxna,,,
mc_15,,,kununmbi,,,
mc_15,,,pua,,,
mc_15,,,joshin,,,
mc_16,,,shoo,,,
mc_16,,,kurrum,,,
mc_16,,,kashu,,,
mc_16,,,oshne,,,
mc_16,,,mandi,,,
mc_16,,,kuin,,,
mc_16,,,emu,,,
mc_16,,,ami,,,
mc_16,,,nete,,,
mc_16,,,ambi,,,
mc_16,,,xexe,,,
mc_16,,,coro,,,
mc_16,,,xena,,,
mc_16,,,kexketi,,,
mc_16,,,pene,,,
mc_16,,,mai,,,
mc_16,,,bexnan,,,
mc_16,,,xo,,,
mc_16,,,chexe,,,
mc_16,,,pei,,,
mc_16,,,barrin poi,,,
mc_16,,,maxe,,,
mc_16,,,carri,,,
mc_16,,,yame,,,
mc_16,,,chimapu,,,
mc_16,,,nai,,,
mc_16,,,manxan,,,
mc_16,,,jimi,,,
mc_16,,,paxna,,,
mc_16,,,kununmbi,,,
mc_16,,,pua,,,
mc_16,,,joshin,,,
mc_17,,,shoo,,,
mc_17,,,kurrum,,,
mc_17,,,kashu,,,
mc_17,,,oshne,,,
mc_17,,,mandi,,,
mc_17,,,kuin,,,
mc_17,,,emu,,,
mc_17,,,ami,,,
mc_17,,,nete,,,
mc_17,,,ambi,,,
mc_17,,,xexe,,,
mc_17,,,coro,,,
mc_17,,,xena,,,
mc_17,,,kexketi,,,
mc_17,,,pene,,,
mc_17,,,mai,,,
mc_17,,,bexnan,,,
mc_17,,,xo,,,
mc_17,,,chexe,,,
mc_17,,,pei,,,
mc_17,,,barrin poi,,,
mc_17,,,maxe,,,
mc_17,,,carri,,,
mc_17,,,yame,,,
mc_17,,,chimapu,,,
mc_17,,,nai,,,
mc_17,,,manxan,,,
mc_17,,,jimi,,,
mc_17,,,paxna,,,
mc_17,,,kununmbi,,,
mc_17,,,pua,,,
mc_17,,,joshin,,,
mc_18,,,shoo,,,
mc_18,,,kurrum,,,
mc_18,,,kashu,,,
mc_18,,,oshne,,,
mc_18,,,mandi,,,
mc_18,,,kuin,,,
mc_18,,,emu,,,
mc_18,,,ami,,,
mc_18,,,nete,,,
mc_18,,,ambi,,,
mc_18,,,xexe,,,
mc_18,,,coro,,,
mc_18,,,xena,,,
mc_18,,,kexketi,,,
mc_18,,,pene,,,
mc_18,,,mai,,,
mc_18,,,bexnan,,,
mc_18,,,xo,,,
mc_18,,,chexe,,,
mc_18,,,pei,,,
mc_18,,,barrin poi,,,
mc_18,,,maxe,,,
mc_18,,,carri,,,
mc_18,,,yame,,,
mc_18,,,chimapu,,,
mc_18,,,nai,,,
mc_18,,,manxan,,,
mc_18,,,jimi,,,
mc_18,,,paxna,,,
mc_18,,,kununmbi,,,
mc_18,,,pua,,,
mc_18,,,joshin,,,
mc_19,,,shoo,,,
mc_19,,,kurrum,,,
mc_19,,,kashu,,,
mc_19,,,oshne,,,
mc_19,,,mandi,,,
mc_19,,,kuin,,,
mc_19,,,emu,,,
mc_19,,,ami,,,
mc_19,,,nete,,,
mc_19,,,ambi,,,
mc_19,,,xexe,,,
mc_19,,,coro,,,
mc_19,,,xena,,,
mc_19,,,kexketi,,,
mc_19,,,pene,,,
mc_19,,,mai,,,
mc_19,,,bexnan,,,
mc_19,,,xo,,,
mc_19,,,chexe,,,
mc_19,,,pei,,,
mc_19,,,barrin poi,,,
mc_19,,,maxe,,,
mc_19,,,carri,,,
mc_19,,,yame,,,
mc_19,,,chimapu,,,
mc_19,,,nai,,,
mc_19,,,manxan,,,
mc_19,,,jimi,,,
mc_19,,,paxna,,,
mc_19,,,kununmbi,,,
mc_19,,,pua,,,
mc_19,,,joshin,,,
